"","Acc_Index","Vehicle_Reference","Vehicle_Type","Towing_and_Articulation","Vehicle_Manoeuvre","Vehicle_Location.Restricted_Lane","Junction_Location","Skidding_and_Overturning","Hit_Object_in_Carriageway","Vehicle_Leaving_Carriageway","Hit_Object_off_Carriageway","X1st_Point_of_Impact","Was_Vehicle_Left_Hand_Drive","Journey_Purpose_of_Driver","Sex_of_Driver","Age_Band_of_Driver","Engine_Capacity_.CC.","Propulsion_Code","Age_of_Vehicle","Driver_IMD_Decile","Driver_Home_Area_Type"
"1351","201001CP00091",1,8,0,6,0,0,0,0,0,0,2,1,1,1,7,1896,2,8,7,1
"1352","201001CP00091",2,3,0,4,0,0,1,0,0,0,1,1,1,1,6,125,1,4,1,1
"1353","201001CP00092",1,9,0,9,0,5,0,0,0,0,1,1,15,1,7,1598,1,8,5,1
"1354","201001CP00092",2,1,0,18,0,8,0,0,0,0,1,1,15,1,7,-1,-1,-1,10,1
"1355","201001CP00093",1,11,0,18,0,8,0,0,0,0,1,1,1,1,7,6370,2,6,3,1
"1356","201001CP00094",1,5,0,9,0,8,0,0,0,0,3,1,15,1,7,599,1,2,1,1
"1357","201001CP00096",1,5,0,18,0,8,0,0,0,0,1,1,15,1,9,599,1,1,10,1
"1359","201001CP00099",1,19,0,1,0,0,0,0,0,0,2,1,1,1,6,2148,2,2,2,1
"1360","201001CP00100",1,8,0,7,0,5,0,0,0,0,1,1,1,1,9,2664,2,10,6,1
"1361","201001CP00100",2,1,0,15,0,8,0,10,0,0,2,1,15,1,-1,-1,-1,-1,-1,-1
"1362","201001CP00101",1,1,0,18,4,8,0,0,0,0,3,1,15,1,8,-1,-1,-1,10,1
"1363","201001CP00101",2,9,0,11,4,8,0,0,0,0,4,1,15,1,-1,3199,1,8,8,1
"1364","201001CP00102",1,1,0,4,0,8,0,0,0,0,0,1,15,2,5,-1,-1,-1,1,1
"1365","201001CP00103",1,11,0,18,0,0,0,0,0,0,4,1,1,3,-1,9000,2,-1,-1,-1
"1366","201001CP00104",1,9,0,13,0,8,0,0,0,0,4,1,15,1,7,2979,1,7,1,1
"1367","201001CP00104",2,1,0,18,0,8,0,0,0,0,3,1,15,1,6,-1,-1,-1,5,1
"1368","201001CP00105",1,3,0,14,0,8,0,0,0,0,4,1,15,1,6,124,1,3,4,1
"1369","201001CP00106",1,9,0,6,0,8,0,0,0,0,3,1,15,1,-1,3824,1,6,7,1
"1370","201001CP00106",2,5,0,18,0,8,0,0,0,0,1,1,15,2,7,749,1,-1,4,1
"1371","201001CP00107",1,9,0,9,0,8,0,0,0,0,1,1,15,3,-1,-1,-1,-1,-1,-1
"1372","201001CP00107",2,1,0,18,0,8,0,0,0,0,3,1,15,1,6,-1,-1,-1,1,1
"1373","201001CP00108",1,9,0,18,0,8,0,0,0,0,1,1,15,1,6,1396,1,9,1,1
"1374","201001CP00108",2,8,0,3,0,8,0,0,0,0,2,1,15,1,9,2664,2,11,4,1
"1375","201001CP00108",3,9,0,3,0,8,0,0,0,0,2,1,15,1,7,3301,7,7,1,1
"1376","201001CP00109",1,19,0,1,0,8,0,0,0,0,2,1,1,1,6,2295,7,4,9,1
"1377","201001CP00110",1,8,0,2,0,8,0,0,0,0,4,1,1,1,6,2499,2,4,3,1
"1378","201001CP00110",2,1,0,18,0,8,0,0,0,0,1,1,15,1,6,-1,-1,-1,4,1
"1379","201001CP00111",1,19,0,2,0,0,0,0,0,0,4,1,15,2,6,-1,3,2,1,1
"1380","201001CP00112",1,9,0,9,0,8,0,0,0,0,4,1,15,1,7,1796,1,11,2,1
"1381","201001CP00112",2,3,0,18,0,8,0,0,0,0,1,1,15,1,7,198,1,7,3,1
"1382","201001CP00113",1,3,0,18,0,8,0,0,0,0,1,1,15,2,7,125,1,2,9,1
"1383","201001CP00114",1,9,0,9,0,8,0,0,0,0,4,1,15,1,8,4164,2,6,9,1
"1384","201001CP00114",2,1,0,18,0,8,0,0,0,0,1,1,15,2,6,-1,-1,-1,4,1
"1385","201001CP00115",1,9,0,6,0,8,0,0,0,0,3,1,15,1,6,1339,8,3,6,1
"1386","201001CP00115",2,1,0,13,0,8,0,0,0,0,1,1,15,1,7,-1,-1,-1,1,1
"1387","201001CP00117",1,2,0,3,0,8,0,0,0,0,2,1,15,1,6,48,1,3,7,1
"1388","201001CP00117",2,9,0,18,0,8,0,0,0,0,1,1,15,3,-1,-1,-1,-1,-1,-1
"1389","201001CP00118",1,11,0,9,0,8,0,0,0,0,0,1,1,1,8,8268,2,7,2,1
"1390","201001CP00119",1,19,0,18,0,8,0,0,0,0,3,1,1,3,-1,1968,2,5,-1,-1
"1391","201001CP00120",1,1,0,18,0,8,0,10,1,10,3,1,15,1,6,-1,-1,-1,3,1
"1392","201001CP00120",2,11,0,11,0,8,0,0,0,0,0,1,1,3,-1,6700,2,1,-1,-1
"1393","201001CP00121",1,8,0,2,0,8,0,0,0,0,4,1,1,1,6,2499,2,3,5,1
"1394","201001CP00121",2,1,0,15,0,8,0,0,0,0,1,1,15,1,8,-1,-1,-1,10,1
"1395","201001CP00122",1,19,0,1,0,8,0,0,0,0,2,1,15,1,8,2148,2,2,6,1
"1396","201001CP00123",1,1,0,18,0,8,0,0,0,0,3,1,15,1,5,-1,-1,-1,5,1
"1397","201001CP00123",2,11,0,7,0,8,0,0,0,0,4,1,1,3,-1,-1,-1,-1,-1,-1
"1398","201001CP00124",1,1,0,18,0,8,0,0,0,0,1,1,15,1,7,-1,-1,-1,3,1
"1399","201001CP00125",1,1,0,18,0,8,0,0,0,0,3,1,15,2,6,-1,-1,-1,1,1
"1400","201001CP00125",2,8,0,13,0,8,0,0,0,0,4,1,1,3,-1,2402,2,6,-1,-1
"1401","201001CP00126",1,9,0,18,0,8,0,0,0,0,1,1,15,1,6,2494,1,13,7,1
"1402","201001CP00127",1,19,0,18,0,8,0,0,0,0,4,1,15,1,9,2143,2,1,8,1
"1403","201001CP00128",1,1,0,18,0,8,0,0,0,0,0,1,15,1,6,-1,-1,-1,5,1
"1404","201001CP00129",1,1,0,14,0,8,0,0,0,0,4,1,15,2,6,-1,-1,-1,3,1
"1405","201001CP00129",2,9,0,6,0,8,0,0,0,0,3,1,15,1,9,2497,2,12,6,1
"1408","201001CP00131",1,1,0,15,0,8,0,0,0,0,1,1,1,1,5,-1,-1,-1,6,1
"1409","201001CP00132",1,8,0,18,0,1,0,0,0,0,1,1,1,1,7,2402,2,6,4,1
"1410","201001CP00132",2,1,0,18,0,1,0,0,0,0,2,1,2,1,7,-1,-1,-1,4,1
"1411","201001CP00132",3,11,0,3,0,1,0,0,0,0,3,1,15,3,-1,-1,-1,-1,-1,-1
"1412","201001CP00133",1,9,0,18,0,8,0,0,0,0,4,1,15,1,6,1299,1,10,3,1
"1413","201001CP00133",2,19,0,9,0,8,0,0,0,0,3,1,15,1,8,1686,2,6,6,1
"1414","201001CP00134",1,8,0,14,0,8,0,0,0,0,4,1,1,1,8,2499,2,3,1,1
"1415","201001CP00136",1,8,0,18,0,8,0,0,0,0,2,1,1,1,8,1997,2,2,9,1
"1416","201001CP00136",2,11,0,18,0,8,0,0,0,0,1,1,1,1,7,7300,2,7,4,1
"1417","201001CP00137",1,1,0,15,0,1,0,0,0,0,1,1,1,1,6,-1,-1,-1,1,1
"1418","201001CP00138",1,5,0,18,0,2,0,0,0,0,1,1,1,1,8,647,1,14,7,1
"1419","201001CP00139",1,19,0,13,0,1,0,0,0,0,4,1,1,1,8,-1,-1,-1,4,1
"1420","201001CP00139",2,1,0,18,0,1,0,0,0,0,3,1,15,2,5,-1,-1,-1,1,1
"1421","201001CP00140",1,1,0,18,0,2,0,0,0,0,1,1,15,1,7,-1,-1,-1,8,1
"1422","201001CP00141",1,9,0,18,0,0,0,0,0,0,4,1,15,1,6,1598,1,-1,8,1
"1423","201001CP00142",1,90,0,9,0,8,0,0,0,0,1,1,1,1,6,6370,2,4,2,1
"1424","201001CP00142",2,20,0,4,0,8,0,0,0,0,2,1,1,1,7,-1,-1,-1,4,1
"1425","201001CP00143",1,19,0,7,0,8,0,0,0,0,4,1,1,1,5,1248,2,5,5,1
"1426","201001CP00144",1,1,0,18,0,8,0,0,0,0,1,1,15,1,8,-1,-1,-1,10,1
"1427","201001CP00144",2,9,0,4,0,8,0,0,0,0,2,1,15,1,-1,-1,-1,-1,7,1
"1428","201001CP00145",1,5,0,18,0,8,0,0,0,0,3,1,2,1,6,599,1,8,4,1
"1429","201001CP00145",2,19,0,11,0,8,0,0,0,0,4,1,15,3,-1,1686,2,9,-1,-1
"1430","201001CP00146",1,8,0,18,0,8,0,0,0,0,2,1,1,1,7,2400,2,1,9,1
"1431","201001CP00146",2,11,0,18,0,8,0,0,0,0,1,1,1,1,7,6700,2,2,4,1
"1432","201001CP00147",1,8,0,9,4,5,0,0,0,0,1,1,1,1,8,2402,2,8,4,1
"1433","201001CP00147",2,1,0,18,4,8,0,0,0,0,3,1,2,1,6,-1,-1,-1,-1,-1
